1,391,32
2,234,308
3,42,245
4,245,149
5,230,408
6,377,430
7,146,148
8,31,119
9,418,38
10,31,89
11,276,113
12,17,88
13,405,282
14,382,20
15,370,208
16,242,115
17,101,477
18,51,150
19,243,65
20,437,99
21,455,69
22,286,294
23,440,433
24,417,172
25,72,280
26,272,157
27,436,28
28,240,30
29,482,90
30,146,115
31,231,111
32,149,104
33,194,324
34,238,63
35,402,248
36,187,162
37,50,426
38,434,211
39,388,145
40,486,349
41,435,221
42,165,133
43,499,13
44,308,457
45,172,58
46,100,373
47,362,295
48,481,226
49,168,415
50,274,491
51,375,60
52,445,29
53,77,203
54,169,432
55,150,423
56,115,284
57,151,225
58,314,263
59,295,289
60,295,270
61,32,129
62,190,21
63,408,142
64,40,470
65,24,180
66,59,474
67,293,106
68,230,87
69,59,321
70,190,246
71,303,261
72,275,7
73,211,428
74,313,45
75,363,23
76,56,383
77,311,398
78,436,199
79,84,289
80,496,476
81,133,302
82,297,114
83,409,414
84,58,45
85,102,298
86,67,37
87,414,206
88,387,78
89,205,420
90,494,375
91,73,480
92,312,242
93,159,326
94,178,35
95,149,366
96,456,191
97,190,497
98,215,57
99,142,241
100,95,379
101,67,79
102,240,10
103,334,84
104,261,304
105,486,375
106,422,53
107,65,380
108,13,52
109,491,141
110,16,280
111,170,385
112,112,82
113,445,480
114,485,113
115,460,133
116,362,271
117,304,188
118,325,324
119,2,24
120,125,178
121,416,236
122,234,346
123,116,319
124,200,214
125,53,306
126,413,233
127,441,413
128,428,436
129,195,435
130,275,316
131,271,444
132,41,212
133,106,368
134,67,153
135,494,172
136,454,306
137,191,359
138,297,489
139,31,141
140,5,103
141,24,447
142,116,456
143,215,90
144,21,263
145,10,32
146,394,403
147,63,17
148,203,499
149,252,29
150,344,210
151,145,111
152,431,210
153,72,470
154,444,226
155,465,314
156,150,351
157,107,136
158,464,277
159,27,140
160,372,472
161,366,296
162,210,171
163,429,144
164,213,275
165,430,314
166,61,363
167,191,266
168,335,468
169,71,136
170,206,364
171,238,480
172,474,429
173,2,16
174,442,332
175,90,397
176,334,123
177,454,370
178,17,405
179,352,398
180,455,487
181,204,446
182,452,389
183,246,361
184,159,358
185,188,203
186,372,305
187,449,263
188,264,139
189,260,337
190,362,52
191,4,500
192,84,383
193,100,455
194,332,246
195,483,58
196,349,121
197,68,36
198,132,376
199,442,117
200,490,137
201,464,269
202,94,126
203,63,440
204,391,10
205,254,193
206,245,430
207,370,347
208,453,148
209,328,349
210,235,238
211,395,481
212,301,47
213,435,462
214,186,412
215,457,365
216,428,223
217,346,315
218,218,460
219,419,449
220,327,472
221,246,192
222,495,149
223,395,500
224,421,292
225,179,33
226,161,38
227,303,222
228,32,123
229,50,449
230,324,494
231,64,130
232,180,329
233,499,50
234,302,166
235,182,376
236,302,12
237,386,390
238,458,196
239,45,230
240,388,357
241,242,413
242,38,19
243,124,289
244,174,160
245,80,121
246,239,65
247,121,43
248,422,356
249,10,163
250,187,79
251,360,285
252,175,446
253,473,219
254,185,323
255,373,144
256,210,87
257,415,136
258,140,117
259,89,349
260,332,340
261,11,296
262,186,213
263,354,413
264,447,35
265,439,243
266,339,148
267,282,121
268,199,413
269,240,18
270,90,317
271,110,239
272,80,328
273,311,184
274,91,240
275,288,477
276,469,250
277,430,80
278,394,348
279,315,460
280,380,145
281,240,50
282,28,462
283,179,164
284,286,124
285,122,129
286,234,451
287,52,476
288,199,284
289,427,457
290,311,318
291,63,250
292,340,454
293,473,433
294,101,319
295,82,119
296,246,425
297,150,359
298,382,75
299,100,15
300,471,22
301,234,119
302,330,433
303,141,119
304,137,25
305,250,70
306,497,312
307,309,60
308,274,2
309,456,328
310,36,398
311,496,350
312,2,7
313,418,406
314,206,6
315,124,183
316,21,47
317,257,463
318,27,66
319,414,86
320,184,161
321,18,73
322,127,20
323,397,174
324,269,363
325,393,399
326,298,101
327,64,377
328,282,430
329,488,54
330,179,53
331,151,200
332,187,96
333,396,447
334,263,87
335,80,124
336,345,262
337,68,98
338,97,321
339,68,406
340,239,211
341,57,156
342,48,153
343,70,258
344,383,475
345,215,201
346,283,5
347,193,4
348,115,41
349,140,64
350,99,100
351,404,286
352,458,56
353,286,8
354,227,95
355,393,170
